date,male,female,a0_4,a5_14,a15_34,a35_59,a60_79,a80
2020-03-24,12,9,0,0,9,9,3,0
2020-03-25,6,5,0,1,3,5,2,0
2020-03-26,6,5,0,1,3,5,2,0
2020-03-27,9,6,0,0,3,5,6,1
2020-03-28,6,6,0,0,4,5,2,1
2020-03-29,0,0,0,0,0,0,0,0
2020-03-30,6,6,0,0,3,4,3,2
2020-03-31,0,0,0,0,0,0,0,0
2020-04-01,14,11,0,0,7,8,8,2
2020-04-02,6,14,0,0,3,6,5,6
2020-04-03,12,10,0,3,3,5,4,7
2020-04-04,0,0,0,0,0,0,0,0
2020-04-05,12,14,0,1,4,6,7,9
2020-04-06,3,10,0,0,2,2,4,5
2020-04-07,4,2,0,0,0,4,0,2
2020-04-08,22,28,0,0,12,23,13,2
2020-04-09,6,11,0,0,2,7,5,3
2020-04-10,12,11,0,0,5,9,6,3
2020-04-11,16,19,0,1,6,10,10,8
2020-04-12,9,15,0,2,5,7,4,6
2020-04-13,0,0,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0,0,0
2020-04-15,4,6,1,0,2,5,1,1
2020-04-16,3,11,0,0,2,7,3,2
2020-04-17,3,6,0,0,1,5,2,1
2020-04-18,6,7,0,0,2,6,3,2
2020-04-19,8,11,0,0,4,4,5,6
2020-04-20,7,9,0,1,2,9,1,3
2020-04-21,0,0,0,0,0,0,0,0
2020-04-22,4,4,0,0,1,2,1,4
2020-04-23,1,7,0,1,4,2,0,1
2020-04-24,4,8,0,0,3,7,0,2
2020-04-25,0,0,0,0,0,0,0,0
2020-04-26,6,13,0,0,4,8,4,3
2020-04-27,3,5,0,0,1,6,1,0
2020-04-28,0,2,0,0,0,2,0,0
2020-04-29,0,0,0,0,0,0,0,0
2020-04-30,0,2,0,0,1,1,0,0
2020-05-01,2,1,0,0,0,2,1,0
2020-05-02,3,1,0,0,1,2,0,1
2020-05-03,5,7,0,0,2,4,3,3
2020-05-04,0,0,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,0,0,0
2020-05-06,0,2,0,0,1,1,0,0
2020-05-07,2,1,0,0,0,1,1,1
2020-05-08,0,0,0,0,0,0,0,0
2020-05-09,2,2,0,0,2,1,1,0
2020-05-10,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,0,0,0
2020-05-12,0,1,0,0,0,0,1,0
2020-05-13,17,19,0,0,6,16,9,5
2020-05-14,0,0,0,0,0,0,0,0
2020-05-15,0,0,0,0,0,0,0,0
2020-05-16,6,3,0,0,3,3,1,2
2020-05-17,0,0,0,0,0,0,0,0
2020-05-18,3,2,0,0,2,0,1,2
2020-05-19,0,0,0,0,0,0,0,0
2020-05-20,5,1,0,0,0,2,1,3
2020-05-21,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,0
2020-05-23,6,6,1,0,6,2,1,2
2020-05-24,3,0,0,0,1,0,0,2
2020-05-25,1,1,0,0,1,0,1,0
2020-05-26,0,2,0,0,1,1,0,0
2020-05-27,0,0,0,0,0,0,0,0
2020-05-28,2,0,0,0,2,0,0,0
2020-05-29,3,2,0,0,4,1,0,0
2020-05-30,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0
2020-06-01,0,3,0,0,1,1,0,1
2020-06-02,0,1,0,0,0,1,0,0
2020-06-03,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0
2020-06-05,0,2,0,1,0,1,0,0
2020-06-06,0,2,0,0,1,1,0,0
2020-06-07,0,0,0,0,0,0,0,0
2020-06-08,1,0,0,0,1,0,0,0
2020-06-09,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0
2020-06-11,0,2,0,0,2,0,0,0
2020-06-12,0,0,0,0,0,0,0,0
2020-06-13,0,3,0,0,1,2,0,0
2020-06-14,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0
2020-06-16,2,3,0,1,3,2,0,0
2020-06-17,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0
2020-06-23,3,0,0,0,2,1,0,0
2020-06-24,1,2,0,0,1,2,0,0
2020-06-25,1,0,0,0,0,1,0,0
2020-06-26,3,0,0,0,1,1,1,0
2020-06-27,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0,0
2020-06-30,9,14,0,0,8,6,7,2
2020-07-01,9,8,0,3,8,3,1,2
2020-07-02,0,4,0,0,1,2,1,0
2020-07-03,0,0,0,0,0,0,0,0
2020-07-04,1,4,1,0,1,2,1,0
2020-07-05,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,0
2020-07-08,0,2,0,0,0,2,0,0
2020-07-09,0,0,0,0,0,0,0,0
2020-07-10,0,0,0,0,0,0,0,0
2020-07-11,0,1,0,0,0,0,1,0
2020-07-12,0,0,0,0,0,0,0,0
2020-07-13,0,0,0,0,0,0,0,0
2020-07-14,0,0,0,0,0,0,0,0
2020-07-15,4,3,0,0,0,4,3,0
2020-07-16,0,0,0,0,0,0,0,0
2020-07-17,0,0,0,0,0,0,0,0
2020-07-18,0,1,0,0,1,0,0,0
2020-07-19,0,0,0,0,0,0,0,0
2020-07-20,0,0,0,0,0,0,0,0
2020-07-21,4,3,0,0,3,4,0,0
2020-07-22,0,0,0,0,0,0,0,0
2020-07-23,1,1,0,0,0,1,1,0
2020-07-24,2,0,0,0,1,1,0,0
2020-07-25,1,2,1,0,2,0,0,0
2020-07-26,0,0,0,0,0,0,0,0
2020-07-27,0,0,0,0,0,0,0,0
2020-07-28,6,1,0,1,3,1,2,0
2020-07-29,0,0,0,0,0,0,0,0
2020-07-30,0,2,0,0,1,1,0,0
2020-07-31,0,0,0,0,0,0,0,0
2020-08-01,2,3,0,0,2,1,2,0
2020-08-02,0,0,0,0,0,0,0,0
2020-08-03,0,0,0,0,0,0,0,0
2020-08-04,6,5,1,1,4,4,1,0
2020-08-05,1,0,0,0,1,0,0,0
2020-08-06,5,1,0,0,2,2,2,0
2020-08-07,0,0,0,0,0,0,0,0
2020-08-08,5,5,0,1,2,6,0,1
2020-08-09,0,0,0,0,0,0,0,0
2020-08-10,0,0,0,0,0,0,0,0
2020-08-11,1,2,1,0,2,0,0,0
2020-08-12,0,0,0,0,0,0,0,0
2020-08-13,2,2,0,0,2,2,0,0
2020-08-14,0,0,0,0,0,0,0,0
2020-08-15,3,2,0,1,3,1,0,0
2020-08-16,3,4,0,0,4,3,0,0
2020-08-17,0,0,0,0,0,0,0,0
2020-08-18,1,1,0,0,1,1,0,0
2020-08-19,2,1,0,0,1,2,0,0
2020-08-20,3,2,0,0,5,0,0,0
2020-08-21,0,0,0,0,0,0,0,0
2020-08-22,10,6,1,0,10,3,2,0
2020-08-23,3,2,0,0,3,2,0,0
2020-08-24,2,6,0,1,5,2,0,0
2020-08-25,2,2,0,0,2,2,0,0
2020-08-26,5,2,0,2,3,1,0,1
2020-08-27,6,3,0,1,3,4,1,0
2020-08-28,4,3,0,1,4,2,0,0
2020-08-29,6,7,1,1,7,2,1,1
2020-08-30,2,1,1,0,2,0,0,0
2020-08-31,0,0,0,0,0,0,0,0
2020-09-01,1,0,0,0,1,0,0,0
2020-09-02,5,0,0,0,2,3,0,0
2020-09-03,0,0,0,0,0,0,0,0
2020-09-04,7,9,0,3,5,8,0,0
2020-09-05,4,1,0,0,3,2,0,0
2020-09-06,0,0,0,0,0,0,0,0
2020-09-07,0,0,0,0,0,0,0,0
2020-09-08,7,7,0,3,7,5,0,0
2020-09-09,6,0,1,1,1,3,0,0
2020-09-10,0,0,0,0,0,0,0,0
2020-09-11,3,1,0,0,1,3,0,0
2020-09-12,2,4,0,0,2,3,1,0
2020-09-13,0,0,0,0,0,0,0,0
2020-09-14,3,3,0,0,3,1,2,0
2020-09-15,0,0,0,0,0,0,0,0
2020-09-16,5,10,0,2,5,6,2,0
2020-09-17,0,0,0,0,0,0,0,0
2020-09-18,6,5,0,1,4,5,1,0
2020-09-19,6,3,0,0,1,6,2,0
2020-09-20,0,0,0,0,0,0,0,0
2020-09-21,0,0,0,0,0,0,0,0
2020-09-22,9,4,0,1,3,6,2,1
2020-09-23,0,3,0,1,1,1,0,0
2020-09-24,3,3,0,0,2,2,2,0
2020-09-25,5,7,0,1,2,6,3,0
2020-09-26,1,3,0,1,1,2,0,0
2020-09-27,0,0,0,0,0,0,0,0
2020-09-28,7,9,2,2,4,6,2,0
2020-09-29,3,2,0,1,3,1,0,0
2020-09-30,4,6,0,3,2,3,2,0
2020-10-01,4,5,0,0,3,4,2,0
2020-10-02,10,3,0,0,7,4,0,2
2020-10-03,0,0,0,0,0,0,0,0
2020-10-04,9,9,0,3,6,4,3,2
2020-10-05,0,0,0,0,0,0,0,0
2020-10-06,3,4,0,0,1,2,3,1
2020-10-07,8,6,1,1,2,4,4,2
2020-10-08,13,9,0,0,5,6,6,5
2020-10-09,8,7,0,0,7,6,2,0
2020-10-10,6,5,0,0,1,6,3,1
2020-10-11,0,0,0,0,0,0,0,0
2020-10-12,9,6,1,3,2,7,1,1
2020-10-13,1,1,0,0,1,1,1,0
2020-10-14,8,4,2,1,4,4,1,0
2020-10-15,9,8,0,1,3,7,3,3
2020-10-16,10,12,2,1,5,10,4,0
2020-10-17,25,18,0,1,15,18,4,5
2020-10-18,6,6,0,1,4,5,1,1
2020-10-19,13,9,1,3,6,7,1,4
2020-10-20,2,8,0,0,3,4,3,0
2020-10-21,0,0,0,0,0,0,0,0
2020-10-22,22,27,2,4,16,18,7,2
2020-10-23,16,19,1,3,11,15,4,1
2020-10-24,12,10,0,3,7,6,4,3
2020-10-25,17,11,3,3,8,6,6,2
2020-10-26,10,12,0,3,7,7,3,2
2020-10-27,10,10,1,0,6,5,5,3
2020-10-28,9,11,1,3,5,4,4,3
2020-10-29,14,11,2,3,7,5,7,1
2020-10-30,14,15,3,4,8,7,4,3
2020-10-31,10,11,0,3,6,5,4,3
2020-11-01,14,11,1,3,7,8,4,2
2020-11-02,0,0,0,0,0,0,0,0
2020-11-03,15,16,1,4,8,8,6,4
2020-11-04,10,11,2,1,4,7,4,3
2020-11-05,16,11,2,3,5,8,5,3
2020-11-06,18,17,2,3,10,10,6,4
2020-11-07,11,13,1,3,4,8,5,4
2020-11-08,13,18,1,3,7,9,6,4
2020-11-09,20,18,3,2,8,12,8,5
2020-11-10,8,12,0,2,5,5,5,3
2020-11-11,16,19,2,2,9,11,5,5
2020-11-12,14,15,2,5,5,5,7,5
2020-11-13,16,14,5,2,6,10,4,3
2020-11-14,12,11,0,2,6,7,5,3
2020-11-15,15,14,1,2,9,7,6,4
2020-11-16,5,3,0,1,5,2,1,0
2020-11-17,7,9,0,1,4,6,1,4
2020-11-18,13,8,0,4,6,5,3,3
2020-11-19,17,18,3,4,10,8,5,4
2020-11-20,12,10,0,3,5,6,5,3
2020-11-21,10,12,1,2,6,5,6,2
2020-11-22,13,15,2,2,9,8,6,1
2020-11-23,9,9,1,4,5,5,2,1
2020-11-24,0,0,0,0,0,0,0,0
2020-11-25,15,15,3,3,8,10,3,3
2020-11-26,10,12,2,2,5,5,4,4
2020-11-27,8,9,2,3,3,4,3,2
2020-11-28,10,13,2,4,5,4,4,4
2020-11-29,0,0,0,0,0,0,0,0
2020-11-30,14,17,1,8,7,8,5,3
2020-12-01,4,4,0,0,3,3,2,0
2020-12-02,12,11,1,2,7,5,6,2
2020-12-03,17,25,3,7,14,10,5,4
2020-12-04,15,14,1,3,6,8,8,4
2020-12-05,17,21,3,4,8,11,10,2
2020-12-06,14,20,2,3,9,10,7,4
2020-12-07,10,8,1,3,4,4,4,2
2020-12-08,4,4,0,1,2,2,2,1
2020-12-09,15,18,0,3,11,11,4,4
2020-12-10,12,11,3,4,4,4,5,3
2020-12-11,14,18,1,4,9,10,4,4
2020-12-12,12,14,0,3,9,8,4,2
2020-12-13,20,23,2,7,8,13,8,5
2020-12-14,8,10,0,3,3,4,4,4
2020-12-15,14,12,3,3,5,9,4,3
2020-12-16,14,9,1,3,6,6,5,3
2020-12-17,5,2,1,0,2,3,1,0
2020-12-18,47,39,5,5,25,29,18,5
2020-12-19,19,17,1,4,8,11,8,5
2020-12-20,14,14,4,3,7,7,4,3
2020-12-21,16,10,2,2,6,8,5,3
2020-12-22,9,9,3,2,5,5,1,3
2020-12-23,17,16,1,3,8,12,6,3
2020-12-24,16,15,2,4,7,11,4,4
2020-12-25,13,18,2,4,10,7,6,4
2020-12-26,12,13,2,5,5,6,5,3
2020-12-27,6,6,0,1,4,3,4,0
2020-12-28,7,8,0,0,3,4,5,3
2020-12-29,11,12,1,3,5,9,4,1
2020-12-30,12,14,3,2,6,8,5,2
2020-12-31,18,23,2,5,12,11,7,4
